ticker,discount,sector,risk,current_price
AVGO,0.46866072838954115,Information Technology,0.04717262895682785,254.3000030517578
BR,0.3140091187165186,Information Technology,0.032597919183077834,105.91000366210938
CHRW,0.219161709168054,Industrials,0.022722210835956866,73.22000122070312
COG,0.2118169411657488,Energy,0.0413158725605025,18.8799991607666
CDNS,0.25711159069591566,Information Technology,0.03838865255870143,71.6500015258789
CPB,0.1511735273100852,Consumer Staples,0.026355028747657713,47.75
COF,0.587799646222342,Financials,0.057048715480597825,60.11000061035156
CPRI,0.7975092556163297,Consumer Discretionary,0.08356929593625181,13.380000114440918
CAH,0.24099819006327422,Health Care,0.03601643747233696,50.43000030517578
KMX,0.5453191629990553,Consumer Discretionary,0.04925615082768053,66.5
CCL,0.8302611465560653,Consumer Discretionary,0.08917031295771964,12.420000076293945
